experiment,fov,culturepoint,whole.coords,focus.initiator,when.identified,frame.appears,time.appears,frame.disappears,time.disappears,gfp.survival.time,last.positive.cbf,interval.before.death,neg.cbf.before.death,n.plauscbfs.b4death,n.cbfs.b4death,median.beat.24,median.beat.48,median.beat.72,median.beat.96,median.beat.120,median.beat.168,median.beat.216,notes,topography,,
ruxcilia,140,5,,,,,,,,,,,,,,,,,,,,,yes,"maybe trackable, maybe in fov",plain,
ruxcilia,141,5,,,,,,,,,,,,,,,,,,,,,yes,"maybe trackable, maybe in fov",plain,
ruxcilia,142,5,,,,,,,,,,,,,,,,,,,,,yes,"maybe trackable, maybe in fov",crypt,
ruxcilia,143,5,,,,,,,,,,,,,,,,,,,,,yes,"maybe trackable, maybe in fov",plain,
ruxcilia,144,5,,,,,,,,,,,,,,,,,,,,,yes,"maybe trackable, maybe in fov",crypt,
ruxcilia,145,5,,,,,,,,,,,,,,,,,,,,,yes,"maybe trackable, maybe in fov",crypt,
ruxcilia,146,5,,,,,,,,,,,,,,,,,,,,,yes,maybe a little dense but it could work,crypt,
ruxcilia,153,6,,,,,,,,,,,,,,,,,,,,,yes,probably trackable,crypt,
ruxcilia,158,6,,,,,,,,,,,,,,,,,,,,,yes,probably trackable,crypt,
multitest,12,1,,,,,,,,,,,,,,,,,,,,,yes,tracked 24 72,plain with cysts nearby,
multitest,22,1,,,,,,,,,,,,,,,,,,,,,yes,1 disappeared 24-72,one of these is worong,
multitest,24,1,,,,,,,,,,,,,,,,,,,,,yes,1 disappeared 24-72,one of these is worong,
multitest,25,1,,,,,,,,,,,,,,,,,,,,,yes,1 disappeared 24-72,,
multitest,26,1,,,,,,,,,,,,,,,,,,,,,yes,"maybe trackable, good terrain",,
multitest,31,1,,,,,,,,,,,,,,,,,,,,,yes,2 trackable,,
multitest,32,1,,,,,,,,,,,,,,,,,,,,,yes,1 trackable in fov?,,
multitest,36,1,,,,,,,,,,,,,,,,,,,,,yes,2 trackable persisters,,
multitest,78,2,,,,,,,,,,,,,,,,,,,,,yes,1 trackable sort of in fov. Elongated.,,
multitest,97,2,,,,,,,,,,,,,,,,,,,,,yes,looks gnarly but it's there,,
multitest,254,7,,,,,,,,,,,,,,,,,,,,,yes,1 trackable in fov?,,
multitest,255,7,,,,,,,,,,,,,,,,,,,,,yes,2 trackable in fov?,,
multitest,329,1,,,,,,,,,,,,,,,,,,,,,yes,trackable disappearer.,,
multitest,330,1,,,,,,,,,,,,,,,,,,,,,yes,trackable disappearer. Though a lot of debris,,
multitest,331,1,,,,,,,,,,,,,,,,,,,,,yes,trackable disappearer. Though a lot of debris,,
multitest,332,1,,,,,,,,,,,,,,,,,,,,,yes,trackable disappearer. Though a lot of debris,,
multitest,333,1,,,,,,,,,,,,,,,,,,,,,yes,trackable persister. Though a lot of debris,,
multitest,336,1,,,,,,,,,,,,,,,,,,,,,yes,trackable persister. Though a lot of debris,,
multitest,337,1,,,,,,,,,,,,,,,,,,,,,yes,trackable persister. Though a lot of debris,,
multitest,338,1,,,,,,,,,,,,,,,,,,,,,yes,trackable persister. Though a lot of debris,,
multitest,341,2,,,,,,,,,,,,,,,,,,,,,yes,trackable disapperer,,
multitest,344,2,,,,,,,,,,,,,,,,,,,,,yes,trackable disappearer,,
multitest,351,3,,,,,,,,,,,,,,,,,,,,,yes,trackable persister and disappearer,,
multitest,352,3,,,,,,,,,,,,,,,,,,,,,yes,trackable disappearer,,
multitest,356,3,,,,,,,,,,,,,,,,,,,,,yes,trackable persisters and disappearers,,
multitest,357,3,,,,,,,,,,,,,,,,,,,,,yes,trackable persisters and disappearers,,
multitest,358,3,,,,,,,,,,,,,,,,,,,,,yes,trackable persisters and disappearers,,
multitest,359,3,,,,,,,,,,,,,,,,,,,,,yes,super cute little persisters but maybe too much mucus to cbf…,,
multitest,360,3,,,,,,,,,,,,,,,,,,,,,yes,trackable persisters and disappearers,,
multitest,361,3,,,,,,,,,,,,,,,,,,,,,yes,super cute little persisters but maybe too much mucus to cbf…,,
