"","hpi_category","condition","experiment","culturepoint","total","donor","hpi","powerful","plaus","ultraplaus","low","medpower","medlogpower","medfreq","medofplaus","medofultraplaus","powerbeatin"
"91","48","infected","longcilias",11,1703936,8,48,0.736148540790264,0.855353135329026,0.411695040189303,0.441712012657752,0.00056247587781395,-3.24989609785114,6.66666666666667,1,9.33333333333333,0.720865689791166
"92","48","infected","longcilias",12,2031616,8,48,0.699898504441784,0.828099404611895,0.699347219159526,0.127231228736139,0.00047258319682435,-3.32552172421065,10,9.66666666666667,10,0.672522267987651
"93","48","infected","ruxcilia",5,1441792,3,48,0.404076316139915,0.847250504927202,0.783388311212713,0.0616489757191051,0.00011582183287825,-3.9362095666484,6.66666666666667,6.33333333333333,6.33333333333333,0.400939247824929
"94","48","infected","ruxcilia",6,1703936,3,48,0.260018568772536,0.804205087515024,0.683189392089844,0.117546081542969,3.99671844206751e-05,-4.39829644552793,6.66666666666667,6.33333333333333,6.66666666666667,0.257253793569712
"95","48","mock","cilia",3,458752,3,48,0.820323399135045,0.962966918945312,0.849596296037946,0.112790788922991,0.00072785987867965,-3.13795221929762,7,7,7.25,0.815161568777902
"96","48","mock","cilia",6,655360,4,48,0.567247009277344,0.778141784667969,0.754412841796875,0.018475341796875,0.00024103420582825,-3.61792132112593,6,5.25,5.5,0.532785034179687
"97","48","mock","cilia",7,589824,2,48,0.569980197482639,0.884150187174479,0.835033840603299,0.0480228000217014,0.00029363727662705,-3.53218881250054,8,7.75,8,0.561126708984375
"98","48","mock","longcilia2",1,2162688,3,48,0.913164080995502,0.970263394442472,0.76957841352983,0.19877578272964,0.0013912566937506,-2.85659273313524,7.33333333333333,7.33333333333333,7.66666666666667,0.904309821851326
"99","48","mock","longcilia2",4,2293760,5,48,0.937642996651786,0.978086635044643,0.768845040457589,0.206841169084821,0.00168920541182155,-2.77231753586638,7,7,7.33333333333333,0.930416434151786
"100","48","mock","longcilia2",5,2359296,5,48,0.85256110297309,0.94015630086263,0.804567125108507,0.134788937038845,0.00152722524944685,-2.81609690441275,10,9.66666666666667,10,0.832870907253689
"101","48","mock","longcilia2",8,2228224,7,48,0.850654153262868,0.942815892836627,0.7183276905733,0.222330429974724,0.00135875825071705,-2.8668578057539,9.33333333333333,9,10,0.830629685345818
"102","48","mock","longcilia2",9,2293760,7,48,0.72133047921317,0.95543954031808,0.89763924734933,0.0560716901506696,0.0004344672634033,-3.36204294156056,5.66666666666667,5.33333333333333,5.66666666666667,0.717440795898437
"103","48","mock","longcilias",1,1376256,4,48,0.595501127697173,0.82537841796875,0.440093267531622,0.380902244931176,0.00027035885432265,-3.56805940259852,6.33333333333333,4.33333333333333,7.66666666666667,0.576834542410714
"104","48","mock","longcilias",2,1441792,4,48,0.317329406738281,0.608440745960582,0.515029907226562,0.0883060802112926,0.0001411581324646,-3.850294096031,9,6,6.33333333333333,0.278974359685724
"105","48","mock","longcilias",7,1179648,7,48,0.829724629720052,0.928661770290799,0.674434238009983,0.251714070638021,0.0006768594903405,-3.16950147740585,10.6666666666667,10.3333333333333,11,0.803850809733073
"106","48","mock","longcilias",8,1179648,7,48,0.883601718478733,0.947392781575521,0.603563096788194,0.339260525173611,0.00082399477832945,-3.08407554042709,10.3333333333333,10.3333333333333,11,0.861467997233073
"107","48","mock","longcilias",9,1048576,8,48,0.676756858825684,0.856427192687988,0.517963409423828,0.336019515991211,0.0004036753234686,-3.39396779804816,7.66666666666667,6.66666666666667,8.66666666666667,0.661114692687988
"108","48","mock","longcilias",10,1179648,8,48,0.651017083062066,0.838757832845052,0.58744388156467,0.249484592013889,0.00035433184530115,-3.45058981403134,8,7.33333333333333,8.33333333333333,0.633611891004774
"109","48","mock","ruxcilia",7,720896,3,48,0.383329911665483,0.88752607865767,0.654740767045455,0.229332663796165,0.0001196426528622,-3.92211396582945,6.33333333333333,6,6.66666666666667,0.379106001420455
"110","72","infected","cilia",4,983040,3,72,0.656674194335938,0.923671468098958,0.759855143229167,0.163052368164062,0.00038829645200165,-3.41083657773403,7.5,7.25,7.75,0.648404947916667
"111","72","infected","cilia",5,1048576,4,72,0.450350761413574,0.688156127929688,0.665624618530273,0.0189914703369141,0.00016259264521065,-3.78889910337093,6.75,5.75,5.75,0.433927536010742
"112","72","infected","cilia",8,851968,2,72,0.644342275766226,0.870518611027644,0.856880774864784,0.0126624474158654,0.0003771329502342,-3.42350552148014,7.75,7.5,7.5,0.632800762469952
"113","72","infected","longcilia2",2,3080192,3,72,0.912223653590426,0.937313647980386,0.778038511884973,0.158668355738863,0.00186804344411935,-2.72861302782655,8,7.66666666666667,8,0.892079454787234
"114","72","infected","longcilia2",3,2228224,5,72,0.818356233484605,0.915296666762408,0.763137817382812,0.150301316205193,0.0011980161070823,-2.92153734290669,7.33333333333333,7,7.66666666666667,0.806637932272518
"115","72","infected","longcilia2",6,2424832,5,72,0.805982022672086,0.946345973659206,0.741742108319257,0.20365369642103,0.00115712994011115,-2.93661786913421,9.66666666666667,9.33333333333333,10,0.790284852723818
"116","72","infected","longcilia2",7,4259840,7,72,0.723177865835336,0.915397526667668,0.831843684269832,0.0825113149789663,0.0005496204248629,-3.25993713650105,9.66666666666667,9.33333333333333,9.66666666666667,0.706704711914062
"117","72","infected","longcilia2",10,3538944,7,72,0.717976322880498,0.937196519639757,0.817638538501881,0.118457370334201,0.00052797113312405,-3.27738982191254,6.66666666666667,6.66666666666667,7,0.710645887586806
"118","72","infected","longcilias",3,3866624,4,72,0.603291657011388,0.742140171891552,0.599791963221663,0.140249219991393,0.0003488259389996,-3.45739122802413,9,8,8.66666666666667,0.567630832478151
"119","72","infected","longcilias",4,2949120,4,72,0.367968071831597,0.590374755859375,0.512687174479167,0.073834228515625,0.0001437224709661,-3.84247532474247,9.66666666666667,6.33333333333333,7,0.316976928710938
"120","72","infected","longcilias",5,2818048,7,72,0.760242550872093,0.814043976539789,0.703160485555959,0.109004530795785,0.00086794327944515,-3.06150865527153,11.6666666666667,11.3333333333333,11.6666666666667,0.716898718545603
"121","72","infected","longcilias",6,2490368,7,72,0.7921142578125,0.834487915039062,0.730808458830181,0.102533440840872,0.001138215593528,-2.94377546886262,11.3333333333333,11.3333333333333,11.3333333333333,0.739789862381785
"122","72","infected","longcilias",11,3145728,8,72,0.62568473815918,0.751799583435059,0.621074040730794,0.12865416208903,0.0004590364551404,-3.3381528228778,9,8.33333333333333,8.66666666666667,0.595208485921224
"123","72","infected","longcilias",12,3211264,8,72,0.387557983398438,0.624015029595823,0.568256300322864,0.0528720155054209,0.00014085230941415,-3.85123602792867,10.6666666666667,8.66666666666667,9,0.362929363639987
"124","72","infected","multicilia",1,3997696,8,72,0.760674648597592,0.909142666175717,0.330010836241675,0.563622396500384,0.00048550043720745,-3.31381037466084,1,1,9,0.747384243324155
"125","72","infected","multicilia",2,3735552,8,72,0.500815408271656,0.802632114343476,0.654373168945312,0.144855164645011,0.0002005561764235,-3.69776395873677,10,9.33333333333333,10,0.481170654296875
"126","72","infected","multicilia",6,3014656,7,72,0.593911212423573,0.811238496199898,0.766927967900815,0.0426572716754416,0.000267175870249,-3.57320276734512,8,7.33333333333333,7.33333333333333,0.566521686056386
"127","72","infected","multicilia",7,3866624,7,72,0.948651071322166,0.934314792439089,0.650938906912076,0.277121075129105,0.00103546422906215,-2.98486489956076,11.3333333333333,11.3333333333333,12,0.894347885907707
"128","72","infected","ruxcilia",5,1441792,3,72,0.278629649769176,0.75904013893821,0.733453924005682,0.0224657925692472,7.26515318092424e-05,-4.13875522445904,7,6.33333333333333,6.33333333333333,0.274806629527699
"129","72","infected","ruxcilia",6,1703936,3,72,0.169230534480168,0.695041949932392,0.656879131610577,0.0343968318058894,3.45760381605942e-05,-4.46122477114217,7.66666666666667,6.33333333333333,6.66666666666667,0.166921762319712
"130","72","mock","cilia",3,458752,3,72,0.838171822684152,0.96671622140067,0.881622314453125,0.0846208844866071,0.0007817682635504,-3.10692196405169,7.75,7.75,7.75,0.830858503069196
"131","72","mock","cilia",6,655360,4,72,0.652720642089844,0.845326232910156,0.827116394042969,0.0147750854492187,0.0003466205380391,-3.46014570796003,6.25,5.75,5.75,0.634201049804688
"132","72","mock","cilia",7,589824,2,72,0.603279961480035,0.901960584852431,0.830015394422743,0.0710652669270833,0.0003491223469609,-3.45702235155806,8,7.75,8,0.596343994140625
"133","72","mock","longcilia2",1,2162688,3,72,0.956212824041193,0.973991162849195,0.843554872455019,0.129431059866241,0.0019494502339512,-2.71008784711173,7.66666666666667,7.66666666666667,8,0.941864476059422
"134","72","mock","longcilia2",4,2293760,5,72,0.955863298688616,0.978330775669643,0.796162632533482,0.18133544921875,0.00186003872659055,-2.73047801354043,7.66666666666667,7.33333333333333,7.66666666666667,0.943664986746652
"135","72","mock","longcilia2",5,2359296,5,72,0.856050279405382,0.935344696044922,0.848040262858073,0.086677975124783,0.00165392406051975,-2.78148443484085,10.3333333333333,10.3333333333333,10.3333333333333,0.829419453938802
"136","72","mock","longcilia2",8,2228224,7,72,0.914869869456572,0.952400656307445,0.738638485179228,0.210827546961167,0.0019022583728656,-2.72073049565989,10.3333333333333,10.3333333333333,10.6666666666667,0.89089651668773
"137","72","mock","longcilia2",9,2293760,7,72,0.746602085658482,0.959256417410714,0.897826712472098,0.0597926548549107,0.0004922864318359,-3.3077821338799,6,5.66666666666667,6,0.741334315708705
"138","72","mock","longcilias",1,2228224,4,72,0.575184541590073,0.772591085994945,0.60094586540671,0.168549032772289,0.0002648579538799,-3.57698698034864,7.66666666666667,6.66666666666667,7.33333333333333,0.543022604549632
"139","72","mock","longcilias",2,2228224,4,72,0.432179619284237,0.617582433363971,0.553102381089154,0.0607946059283088,0.00017033944459395,-3.76868477314179,8.66666666666667,6.33333333333333,6.66666666666667,0.371599982766544
"140","72","mock","longcilias",7,2162688,7,72,0.682157574277936,0.755519520152699,0.638110074129972,0.114359537760417,0.00047400967741845,-3.32421279164548,12,11.3333333333333,11.6666666666667,0.618862730084044
"141","72","mock","longcilias",8,1900544,7,72,0.827351537244073,0.82794136836611,0.661726852943157,0.161626881566541,0.00103019288508215,-2.98708145385384,12,11.3333333333333,12,0.775188051421067
