"","hpi_category","status","experiment","culturepoint","total","donor","hpi","powerful","plaus","ultraplaus","low","medpower","medlogpower","medfreq","medofplaus","medofultraplaus","powerbeatin"
"207","72","infected","longcilia2",3,4767,5,72,0.0142647367316971,0.217537235158381,0.185861128592406,0.0295783511642542,8.08794939075597e-05,-4.09216157494725,30,5.66666666666667,6.66666666666667,0.00377595972309629
"208","72","infected","longcilia2",7,95959,7,72,0.500390791900708,0.794641461457497,0.72178743004825,0.0709886514032035,0.0002004269626922,-3.69804385485684,10,9,9.66666666666667,0.488437770297731
"209","72","infected","longcilia2",10,168339,7,72,0.283683519564688,0.808196555759509,0.534332507618555,0.271701744693743,3.83870101359207e-05,-4.4158157126296,7.33333333333333,6,7.66666666666667,0.279436137793381
"210","72","infected","longcilias",3,384201,4,72,0.505951311943488,0.685370418088448,0.61128680039875,0.0719363041741172,0.0002075620868708,-3.68285197147144,10,9,9.33333333333333,0.478371997990635
"211","72","infected","longcilias",4,111122,4,72,0.0995032486816292,0.266832850380663,0.220370403700437,0.0427818073828765,7.8979617683217e-05,-4.10248497301197,29.6666666666667,7.66666666666667,8.66666666666667,0.0332067457389176
"212","72","infected","longcilias",5,13498,7,72,0.315454141354275,0.558675359312491,0.463624240628241,0.0935694176915099,4.4947795686312e-05,-4.34729160353328,13.3333333333333,11.3333333333333,11.6666666666667,0.297747814491036
"213","72","infected","longcilias",6,513,7,72,0.43859649122807,0.551656920077973,0.539961013645224,0.00974658869395711,0.0001520083751529,-3.81813248322308,12,10.6666666666667,10.6666666666667,0.385964912280702
"214","72","infected","longcilias",11,97085,8,72,0.132646649842921,0.292949477262193,0.265076994386362,0.0237214811762888,8.72171658556908e-05,-4.05939802994455,26.3333333333333,8,8,0.0739455116650358
"215","72","infected","longcilias",12,416741,8,72,0.401198826129418,0.655611038990644,0.58252007841801,0.0703578481598883,0.0001454965822631,-3.83714720820185,10.3333333333333,8.66666666666667,9,0.381023225456579
"216","72","infected","multicilia",1,163691,8,72,0.777929146990366,0.901430133605391,0.376159959924492,0.504798675553329,0.0005308550898917,-3.27502401422791,1.66666666666667,1.33333333333333,9,0.76274199558925
"217","72","infected","multicilia",2,94645,8,72,0.306788525542818,0.529378202757673,0.46699772835332,0.0583549051719584,0.000116580442409,-3.93337430091722,13.6666666666667,9.33333333333333,10,0.266215859263564
"218","72","infected","multicilia",6,269775,7,72,0.598068761004541,0.826455379482902,0.768803632656844,0.056376610138078,0.0002890533360186,-3.53902201398612,10,9,9.33333333333333,0.577670280789547
"219","72","infected","multicilia",7,474472,7,72,0.939490633799255,0.92616213390885,0.767254969734779,0.155764723735015,0.00103429192677135,-2.98535686521495,12,11.6666666666667,12,0.881567300072502
"220","72","infected","ruxcilia",5,262017,3,72,0.241537762816916,0.728765690775789,0.7012560253724,0.0243571981970635,5.85953712288756e-05,-4.2321366899402,7,6.33333333333333,6.33333333333333,0.238106687734002
"221","72","infected","ruxcilia",6,280209,3,72,0.0979483171489852,0.642274159645122,0.600876488620994,0.036779689446092,3.07284644804895e-05,-4.51245914115305,8,6.33333333333333,6.33333333333333,0.0969098066086386
